"id_cell","x","y","Freq 1","Freq 2","Freq 3","Freq 4","Freq 5","Freq 6","Freq 7"
273,-73.845075543,40.77626753,2,29,78,13,11,17,0
274,-73.825075543,40.77626753,12,69,165,12,30,11,0
275,-73.805075543,40.77626753,5,34,45,6,31,4,0
276,-73.785075543,40.77626753,6,51,55,7,16,9,0
277,-73.765075543,40.77626753,1,23,13,5,2,4,0
278,-73.745075543,40.77626753,0,16,7,5,9,3,0
279,-73.725075543,40.77626753,0,3,4,0,2,0,0
280,-73.705075543,40.77626753,0,0,0,0,0,0,0
281,-74.245075543,40.76126753,0,0,0,0,0,0,0
282,-74.225075543,40.76126753,0,0,0,0,0,0,0
283,-74.205075543,40.76126753,0,0,0,0,0,0,0
284,-74.185075543,40.76126753,0,0,0,0,0,0,0
285,-74.165075543,40.76126753,0,0,0,0,0,0,0
286,-74.145075543,40.76126753,0,0,0,0,0,0,0
287,-74.125075543,40.76126753,0,0,0,0,0,0,0
288,-74.105075543,40.76126753,0,0,0,0,0,0,0
289,-74.085075543,40.76126753,0,0,0,0,0,0,0
290,-74.065075543,40.76126753,0,0,0,0,0,0,0
291,-74.045075543,40.76126753,0,0,0,0,0,0,0
292,-74.025075543,40.76126753,0,0,0,0,0,0,0
293,-74.005075543,40.76126753,17,175,141,33,20,4,0
294,-73.985075543,40.76126753,247,2162,2486,236,271,32,0
295,-73.965075543,40.76126753,72,1148,1193,74,145,29,0
296,-73.945075543,40.76126753,44,118,190,72,37,25,0
297,-73.925075543,40.76126753,78,282,551,74,71,50,0
298,-73.905075543,40.76126753,33,121,254,62,45,30,0
299,-73.885075543,40.76126753,63,160,264,73,60,65,0
300,-73.865075543,40.76126753,98,111,187,117,71,42,0
301,-73.845075543,40.76126753,6,54,133,10,4,4,0
302,-73.825075543,40.76126753,92,392,932,131,100,35,1
303,-73.805075543,40.76126753,20,59,98,20,38,9,0
304,-73.785075543,40.76126753,9,68,62,15,27,11,0
305,-73.765075543,40.76126753,11,77,101,11,32,6,0
306,-73.745075543,40.76126753,3,41,83,2,8,5,0
307,-73.725075543,40.76126753,2,41,34,1,12,4,0
308,-73.705075543,40.76126753,0,5,1,1,3,0,0
309,-74.245075543,40.74626753,0,0,0,0,0,0,0
310,-74.225075543,40.74626753,0,0,0,0,0,0,0
311,-74.205075543,40.74626753,0,0,0,0,0,0,0
312,-74.185075543,40.74626753,0,0,0,0,0,0,0
313,-74.165075543,40.74626753,0,0,0,0,0,0,0
314,-74.145075543,40.74626753,0,0,0,0,0,0,0
315,-74.125075543,40.74626753,0,0,0,0,0,0,0
316,-74.105075543,40.74626753,0,0,0,0,0,0,0
317,-74.085075543,40.74626753,0,0,0,0,0,0,0
318,-74.065075543,40.74626753,0,0,0,0,0,0,0
319,-74.045075543,40.74626753,0,0,0,0,0,0,0
320,-74.025075543,40.74626753,0,0,0,0,0,0,0
321,-74.005075543,40.74626753,88,800,749,114,71,30,0
322,-73.985075543,40.74626753,178,2167,3468,188,283,24,0
323,-73.965075543,40.74626753,24,224,244,38,22,21,0
324,-73.945075543,40.74626753,24,127,188,35,31,33,0
325,-73.925075543,40.74626753,23,163,275,39,47,26,1
326,-73.905075543,40.74626753,60,192,332,65,49,52,1
327,-73.885075543,40.74626753,159,355,459,172,99,46,1
328,-73.865075543,40.74626753,211,268,388,196,152,48,1
329,-73.845075543,40.74626753,24,44,99,29,25,15,0
330,-73.825075543,40.74626753,39,131,274,27,38,34,0
